price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
201498,81,32,2048,16,3072,1920,1
64990,72,16,1024,15.6,1920,1080,1
68999,63,8,512,14,1920,1080,0
60990,66,8,512,15.6,1920,1080,1
40990,69.32352941,8,512,15.6,1920,1080,1
107690,75,16,512,15.6,1920,1080,1
25490,69.32352941,8,512,15.6,1920,1080,1
38999,69.32352941,8,512,15.6,1920,1080,1
59990,69.32352941,8,512,15.6,1920,1080,1
60990,64,8,512,15.6,1920,1080,1
55500,70,8,512,15.6,1920,1080,1
124999,76,16,1024,16,2560,1600,1
104990,76,16,1024,16.1,1920,1080,1
136990,72,16,1024,15.6,1920,1080,2
131990,83,16,1024,16,2560,1600,1
36490,60,8,512,14,1920,1080,1
188752,75,16,1024,13.4,2560,1600,1
36999,60,8,512,15.6,1366,768,1
92890,75,16,1024,14,2880,1800,1
57990,69.32352941,8,256,14,1920,1200,1
51999,62,8,512,15.6,1920,1080,1
79990,69.32352941,16,512,14,1920,1200,1
76890,64,16,512,14,1920,1200,1
37790,69.32352941,8,512,15.6,1920,1080,1
17990,69.32352941,8,128,11.6,1366,768,1
38990,69.32352941,8,512,15.6,1920,1080,1
41990,63,8,512,15.6,1920,1080,1
68990,69.32352941,16,512,14,1920,1200,2
69990,67,16,1024,14,1920,1080,1
56990,65,16,1024,14,1920,1080,1
89990,71,16,1024,15.6,1920,1080,1
62990,71,16,512,15.6,1920,1080,2
37990,69.32352941,8,512,15.6,1920,1080,1
58990,60,8,512,15.6,1920,1080,1
26990,69.32352941,8,512,15.6,1366,768,1
94990,70,16,1024,16,1920,1200,1
86189,71,16,512,17.3,1920,1080,1
37990,69.32352941,12,512,13.5,2256,1504,1
194990,89,16,1024,16,3200,2000,1
51990,67,8,512,15.6,1920,1080,1
31990,69.32352941,8,256,15.6,1920,1080,1
41990,69.32352941,8,512,15.6,1920,1080,1
31990,69.32352941,8,256,15.6,1920,1080,1
51390,60,16,512,15.6,1920,1080,1
76900,69.32352941,16,1024,15.6,1920,1080,1
27890,69.32352941,8,512,15.6,1366,768,1
56990,60,16,512,15.6,1920,1080,1
73990,64,16,1024,15.6,1920,1080,1
24999,69.32352941,8,512,15.6,1366,768,1
33999,69.32352941,8,256,15.6,1920,1080,1
61990,63,16,512,16,1920,1200,1
47990,62,8,512,15.6,1920,1080,1
53990,66,8,512,15.6,1920,1080,1
31890,69.32352941,8,512,15.6,1920,1080,1
62390,63,16,512,15.6,1920,1080,1
49990,69.32352941,16,512,14,1080,1920,1
29990,69.32352941,8,256,15.6,1080,1920,1
49990,69.32352941,16,512,14,1920,1080,1
43490,69.32352941,8,512,14,1920,1080,1
95640,60,16,1024,14,1920,1200,1
125990,80,16,1024,16,1920,1080,1
72990,63,16,1024,15.6,1920,1080,1
47990,69,8,512,15.6,1920,1080,2
99999,71,16,512,15.6,1920,1080,1
40990,69.32352941,8,512,15.6,1920,1080,1
94990,75,16,512,14,3840,2400,1
37990,69.32352941,8,512,15.6,1920,1080,1
73990,69,16,512,15.6,1920,1080,1
109990,75,16,512,15.6,1920,1080,1
65999,65,8,512,15.6,1920,1080,1
35990,69.32352941,8,512,15.6,1920,1080,1
37980,69.32352941,8,512,15.6,1920,1080,1
40789,63,16,512,15.6,1920,1080,1
450039,83,64,1024,18,3200,1800,1
89990,75,16,1024,14,2880,1800,1
56990,60,16,512,15.6,1920,1080,1
16990,69.32352941,4,128,14.1,1920,1080,1
54990,63,8,512,14,2880,1800,1
67000,60,8,1024,14,1920,1200,1
34499,69.32352941,8,512,15.6,1920,1080,1
107763,71,16,512,14,2880,1800,1
61490,69.32352941,8,1024,14,1920,1200,1
80490,69,16,512,14,2240,1400,1
57990,69,16,512,15.6,1920,1080,1
39990,62,16,512,14,1920,1080,1
